Language;English;EspaÃ±ol
Menu/Title;Murder by the Book;Murder by the Book
Menu/Start;Play;Jugar
Menu/Options/Title;Options;Opciones
Menu/Options/Sound;Sounds;Sonidos
Menu/Options/Music;Music;Musica
Menu/Credits/Title;Credits;Creditos
Menu/Credits/Text;Created by\nMatÃ­as Mellado\n\n3D assets\nSyntyStudios - Polygon\nKenney Assets\nAleksandcazal DetectiveOffice\n\n2D assets\nKenney Assets\nBDragon1727\n\nMusic by Eric Matyas\nwww.soundimage.org;Creado por\nMatÃ­as Mellado\n\nAssets 3D\nSyntyStudios - Polygon\nKenney Assets\nAleksandcazal DetectiveOffice\n\nAssets 2D\nKenney Assets\nBDragon1727\n\nMusica por Eric Matyas\nwww.soundimage.org
Menu/Exit;Exit;Volver
Clues/BlankPaper/Name;Blank paper;Papel en blanco
Clues/BlankPaper/Desc;A weird blank paper found in the victim's room. Maybe someone knows what this is.;Un extraño papel en blanco encontrado en la habitación de la víctima, quizás alguién sepa algo.
Clues/BloodiedKnife/Name;Bloody Knife;Cuchillo ensangrentado
Clues/BloodiedKnife/Desc;A knife with blood in the tip.;Cuchillo con sangre en su punta.
Clues/BrokenGlass/Name;Broken Glasses;Vasos rotos
Clues/BrokenGlass/Desc;A couple of glasses broken, suggest the victim meet with someone.;Un par de vasos rotos, sugiere que la víctima se reunió con alguién.
Clues/BrokenStatuette/Name;Broken Statuette;Estatuilla rota
Clues/BrokenStatuette/Desc;A statuette broken by a heavy impact.;Una estatuilla rota debido a un fuerte golpe.
Clues/FriendInSecurityCamera/Name;Security Camera footage;Video de una cámara de seguridad
Clues/FriendInSecurityCamera/Desc;Footage from the security camera in the front door. The victim's best friend is shown entering and leaving the house shortly before midnight. He appears angry as he enters and frightened as he leaves.;Video recuperado de la cámara de seguridad en la puerta principal. Se ve al mejor amigo de la víctima entrando al lugar y saliendo cerca de la medianoche. Aparenta estar enojado al entrar y temeoros al salir.
Clues/GirlfriendsRaggedCloth/Name;Ragged Cloth ;Pedazo de tela rasgada
Clues/GirlfriendsRaggedCloth/Desc;A piece of cloth from a victim girlfiend's dress. Found in the kitchens window. Suggest she got in avoiding the security cameras.;Un pedazo del vestido de la pareja de la víctima. Encontrado en la ventana de la cocina. Siguiere que entró evitando la cámara de seguridad.
Clues/HuntingKnife/Name;Hunting Knife;Cuchillo de caza
Clues/HuntingKnife/Desc;My favourite hunting knife, never leave home without it.;Mi cuchillo favorito, nunca salgo de casa sin el.
Clues/IdentifiedPeoplePicture/Name;Photo;Fotografía
Clues/IdentifiedPeoplePicture/Desc;A photo from the victim's desk, it shows a lot of people, including the victim's girlfriend and best friend.;Una fotografía que se cayó del escritorio de la víctima. Muestra a muchas personas, incluidos su pareja y su mejor amigo.
Clues/InvisibleInk/Name;Invisible Ink Revealer;Revelador de tinta invisible
Clues/InvisibleInk/Desc;A bottle with a liquid the victim use to reveal invisible ink.;Una botellita con un liquido para revelar tinta invisible.
Clues/Ligher/Name;Lighter;Encendedor
Clues/Ligher/Desc;My favourite lighter, never leave home without it.;My encendedor favorito, nunca salgo de casa sin el.
Clues/MatchingBloodiedKnife/Name;Bloody Knife;Cuchillo ensangrentado
Clues/MatchingBloodiedKnife/Desc;A knife with blood in the tip. Matches the wound in the victim's chest.;Cuchillo con sangre en su punta. Coincide con la herida en el pecho de la víctima.
Clues/MatchingBrokenStatuette/Name;Broken Statuette;Estatuilla rota
Clues/MatchingBrokenStatuette/Desc;A statuette broken by a heavy impact. Matches the wound in the victim's head.;Una estatuilla rota debido a un fuerte golpe. Coincide con la herida en la cabeza de la víctima.
Clues/NovelDraft/Name;Draft novel;Borrador de novela
Clues/NovelDraft/Desc;The draft of the victim's latest novel. Tells secrets disguised as fiction involving his girlfriend and best friend. Could ruin their lives.;El borrador de la próxima novela de la víctima. Cuenta secretos personales disfrazdos de ficción involucrando a su pareja y mejor amigo. Podría arruinar sus vidas.
Clues/PaperRevealed/Name;Paper with secret message;Papel con mensaje secreto
Clues/PaperRevealed/Desc;A piece of paper with invisible ink revealed, used to find the hidden compartment in the office walls.;Un papel con un mensaje invisible revelado, se necesita para encontrar un compartimiento oculto en la pared de la oficina.
Clues/Picture/Name;Photo;Fotografía
Clues/Picture/Desc;A photo from the victim's desk, it shows a lot of people but no way of identify them.;Una fotografía que se cayó del escritorio de la víctima. Muestra a muchas personas, pero es imposible identificarlas sin más información.
Clues/RaggedCloth/Name;Ragged Cloth ;Pedazo de tela rasgada
Clues/RaggedCloth/Desc;A piece of red cloth ragged found in the kitchen. It's origin is unknown.;Un pedazo de tela rasgada encontrada en la ventana de la cocina, se desconoce su origen.
Clues/SecurityCamera/Name;Security Camera footage;Video de una cámara de seguridad
Clues/SecurityCamera/Desc;Footage from the security camera in the front door. Shows a lot of people entering and leaving the house but no way of identifing them.;Video recuperado de la cámara de seguridad en la puerta principal. Se ve gente entrando y saliendo todo el día, imposible identificar a las personas sin más información.
Clues/TornPaper/Name;Torn paper;Papel destrozado
Clues/TornPaper/Desc;A torn letter from the victim's friend. Looks like a heated argument. Can't read the content.;Pedazos de una carta del mejor amigo de la víctima. No se puede leer su contenido pero pareciera ser una discución acalorada.
Clues/VictimDiary/Name;Victim's Diary;Diario de la víctima
Clues/VictimDiary/Desc;Victim's diary, it's written in a strange way, can't decipher it but someone might know. A couple of pages where cut and it looks like it has some blood.;Diario de la víctima con un estilo de escritura extraña, no puedo decifrar su contenido pero alguién podría saber como leerlo. Un par de páginas parecer haber sido cortadas y hay rastros de sangre.
Clues/VictimDiaryCuts/Name;Victim's Diary;Diario de la víctima
Clues/VictimDiaryCuts/Desc;Victim's diary, it's written in a strange way, can't decipher it but someone might know. A couple of pages where cut with the bloody knife.;Diario de la víctima con un estilo de escritura extraña, no puedo decifrar su contenido pero alguién podría saber como leerlo. Un par de páginas fueron cortadas con el cuchillo ensangrentado.
Clues/VictimDiaryCutsRevealed/Name;Victim's Diary;Diario de la víctima
Clues/VictimDiaryCutsRevealed/Desc;Victim's diary with lot of personal information, including detailed descriptions of his relatives and closed ones and the content of his next novel. A couple of pages where cut with the bloody knife.;Diario de la víctima con mucha información personal, incluidas descripciones detalladas de todos sus conocidos y el contenido de su próxima novela. Un par de páginas fueron cortadas con el cuchillo ensangrentado.
Clues/VictimDiaryRevealed/Name;Victim's Diary;Diario de la víctima
Clues/VictimDiaryRevealed/Desc;Victim's diary with lot of personal information, including detailed descriptions of his relatives and closed ones and the content of his next novel. A couple of pages where cut and it looks like it has some blood.;Diario de la víctima con mucha información personal, incluidas descripciones detalladas de todos sus conocidos y el contenido de su próxima novela. Un par de páginas parecer haber sido cortadas y hay rastros de sangre.
Clues/VictimsBody/Name;Victim's Body;Cuerpo de la víctima
Clues/VictimsBody/Desc;The body of the victim found in his office. I need to ask around about him.;El cuerpo de la víctima encontrado en su oficina. Necesitare preguntar sobre él.
Clues/VictimsBodyPostCop/Name;Victim's Body;Cuerpo de la víctima
